# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000089e+00,0.000000000000000000e+00
3.506959915161132812e+00,0.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000083e-02,5.000000000000000278e-02,5.000000000000000278e-02,3.100000000000000089e+00,0.000000000000000000e+00
3.932021379470825195e+00,0.000000000000000000e+00,1.500000000000000000e+01,7.000000000000000666e-02,1.100000000000000006e-01,2.899999999999999800e-01,3.100000000000000089e+00,0.000000000000000000e+00
4.378049135208129883e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000006e-01,1.499999999999999944e-01,6.400000000000000133e-01,3.100000000000000089e+00,0.000000000000000000e+00
4.825224637985229492e+00,0.000000000000000000e+00,2.500000000000000000e+01,1.499999999999999944e-01,2.000000000000000111e-01,8.800000000000000044e-01,3.100000000000000089e+00,0.000000000000000000e+00
5.283449411392211914e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.900000000000000022e-01,2.500000000000000000e-01,1.520000000000000018e+00,3.100000000000000089e+00,0.000000000000000000e+00
5.731105327606201172e+00,0.000000000000000000e+00,3.500000000000000000e+01,2.200000000000000011e-01,2.999999999999999889e-01,4.940000000000000391e+00,3.100000000000000089e+00,0.000000000000000000e+00
6.183085203170776367e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e-01,3.400000000000000244e-01,5.570000000000000284e+00,3.100000000000000089e+00,0.000000000000000000e+00
6.629985332489013672e+00,0.000000000000000000e+00,4.500000000000000000e+01,2.800000000000000266e-01,3.900000000000000133e-01,5.959999999999999964e+00,3.100000000000000089e+00,0.000000000000000000e+00
7.071466445922851562e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.099999999999999978e-01,4.299999999999999933e-01,6.400000000000000355e+00,3.100000000000000089e+00,0.000000000000000000e+00
7.528028011322021484e+00,0.000000000000000000e+00,5.500000000000000000e+01,3.400000000000000244e-01,4.699999999999999734e-01,7.530000000000000249e+00,3.100000000000000089e+00,0.000000000000000000e+00
7.699506759643554688e+00,0.000000000000000000e+00,6.000000000000000000e+01,3.699999999999999956e-01,5.100000000000000089e-01,9.429999999999999716e+00,3.100000000000000089e+00,0.000000000000000000e+00
8.091061592102050781e+00,0.000000000000000000e+00,6.500000000000000000e+01,4.000000000000000222e-01,5.500000000000000444e-01,1.060999999999999943e+01,3.100000000000000089e+00,0.000000000000000000e+00
8.568736553192138672e+00,0.000000000000000000e+00,7.000000000000000000e+01,4.299999999999999933e-01,5.999999999999999778e-01,1.105000000000000071e+01,3.100000000000000089e+00,0.000000000000000000e+00
9.021062612533569336e+00,0.000000000000000000e+00,7.500000000000000000e+01,4.600000000000000200e-01,6.300000000000000044e-01,1.139000000000000057e+01,3.100000000000000089e+00,0.000000000000000000e+00
9.487528324127197266e+00,0.000000000000000000e+00,8.000000000000000000e+01,4.899999999999999911e-01,6.700000000000000400e-01,1.216999999999999993e+01,3.100000000000000089e+00,0.000000000000000000e+00
9.829805135726928711e+00,0.000000000000000000e+00,8.500000000000000000e+01,5.200000000000000178e-01,7.099999999999999645e-01,1.300000000000000000e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.025520992279052734e+01,0.000000000000000000e+00,9.000000000000000000e+01,5.400000000000000355e-01,7.500000000000000000e-01,1.432000000000000028e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.071987843513488770e+01,0.000000000000000000e+00,9.500000000000000000e+01,5.699999999999999512e-01,7.800000000000000266e-01,1.578999999999999915e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.117583227157592773e+01,0.000000000000000000e+00,1.000000000000000000e+02,5.999999999999999778e-01,8.199999999999999512e-01,1.642000000000000171e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.163638663291931152e+01,0.000000000000000000e+00,1.050000000000000000e+02,6.300000000000000044e-01,8.499999999999999778e-01,1.662000000000000099e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.213168549537658691e+01,0.000000000000000000e+00,1.100000000000000000e+02,6.500000000000000222e-01,8.900000000000000133e-01,1.696000000000000085e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.261347150802612305e+01,0.000000000000000000e+00,1.150000000000000000e+02,6.800000000000000488e-01,9.200000000000000400e-01,1.735000000000000142e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.302228116989135742e+01,0.000000000000000000e+00,1.200000000000000000e+02,6.999999999999999556e-01,9.499999999999999556e-01,1.842999999999999972e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.352382683753967285e+01,0.000000000000000000e+00,1.250000000000000000e+02,7.199999999999999734e-01,9.899999999999999911e-01,1.930999999999999872e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.390794730186462402e+01,0.000000000000000000e+00,1.300000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.042999999999999972e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.436860704421997070e+01,0.000000000000000000e+00,1.350000000000000000e+02,7.700000000000000178e-01,1.050000000000000044e+00,2.116000000000000014e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.486495280265808105e+01,0.000000000000000000e+00,1.400000000000000000e+02,7.900000000000000355e-01,1.080000000000000071e+00,2.185000000000000142e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.516086030006408691e+01,0.000000000000000000e+00,1.450000000000000000e+02,8.199999999999999512e-01,1.110000000000000098e+00,2.228999999999999915e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.567400121688842773e+01,0.000000000000000000e+00,1.500000000000000000e+02,8.399999999999999689e-01,1.139999999999999902e+00,2.239000000000000057e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.614865064620971680e+01,0.000000000000000000e+00,1.550000000000000000e+02,8.599999999999999867e-01,1.169999999999999929e+00,2.287000000000000099e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.663488698005676270e+01,0.000000000000000000e+00,1.600000000000000000e+02,8.800000000000000044e-01,1.199999999999999956e+00,2.292000000000000171e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.711229181289672852e+01,0.000000000000000000e+00,1.650000000000000000e+02,9.000000000000000222e-01,1.229999999999999982e+00,2.389999999999999858e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.748378992080688477e+01,0.000000000000000000e+00,1.700000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.444000000000000128e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.795611524581909180e+01,0.000000000000000000e+00,1.750000000000000000e+02,9.399999999999999467e-01,1.280000000000000027e+00,2.566000000000000014e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.838175988197326660e+01,0.000000000000000000e+00,1.800000000000000000e+02,9.599999999999999645e-01,1.310000000000000053e+00,2.673999999999999844e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.885753178596496582e+01,0.000000000000000000e+00,1.850000000000000000e+02,9.799999999999999822e-01,1.330000000000000071e+00,2.742000000000000171e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.936288142204284668e+01,0.000000000000000000e+00,1.900000000000000000e+02,9.899999999999999911e-01,1.360000000000000098e+00,2.810000000000000142e+01,3.100000000000000089e+00,0.000000000000000000e+00
1.973386406898498535e+01,0.000000000000000000e+00,1.950000000000000000e+02,1.010000000000000009e+00,1.389999999999999902e+00,2.819999999999999929e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.021331572532653809e+01,0.000000000000000000e+00,2.000000000000000000e+02,1.030000000000000027e+00,1.409999999999999920e+00,2.853999999999999915e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.070055127143859863e+01,0.000000000000000000e+00,2.050000000000000000e+02,1.050000000000000044e+00,1.439999999999999947e+00,2.892999999999999972e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.110237741470336914e+01,0.000000000000000000e+00,2.100000000000000000e+02,1.070000000000000062e+00,1.459999999999999964e+00,2.951999999999999957e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.154163432121276855e+01,0.000000000000000000e+00,2.150000000000000000e+02,1.090000000000000080e+00,1.479999999999999982e+00,2.976999999999999957e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.201343345642089844e+01,0.000000000000000000e+00,2.200000000000000000e+02,1.100000000000000089e+00,1.510000000000000009e+00,3.044999999999999929e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.252518534660339355e+01,0.000000000000000000e+00,2.250000000000000000e+02,1.120000000000000107e+00,1.530000000000000027e+00,3.098999999999999844e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.288685011863708496e+01,0.000000000000000000e+00,2.300000000000000000e+02,1.139999999999999902e+00,1.560000000000000053e+00,3.196000000000000085e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.334780359268188477e+01,0.000000000000000000e+00,2.350000000000000000e+02,1.149999999999999911e+00,1.580000000000000071e+00,3.270000000000000284e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.383210611343383789e+01,0.000000000000000000e+00,2.400000000000000000e+02,1.169999999999999929e+00,1.600000000000000089e+00,3.347999999999999687e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.434094715118408203e+01,0.000000000000000000e+00,2.450000000000000000e+02,1.179999999999999938e+00,1.620000000000000107e+00,3.392000000000000171e+01,3.100000000000000089e+00,0.000000000000000000e+00
2.464911437034606934e+01,0.000000000000000000e+00,2.500000000000000000e+02,1.199999999999999956e+00,1.639999999999999902e+00,3.411999999999999744e+01,3.680000000000000160e+00,0.000000000000000000e+00
2.515368962287902832e+01,0.000000000000000000e+00,2.550000000000000000e+02,1.219999999999999973e+00,1.659999999999999920e+00,3.450999999999999801e+01,3.680000000000000160e+00,0.000000000000000000e+00
