# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
3.044605255126953125e-04,0.000000000000000000e+00,1.790000000000000000e+02,9.799999999999999822e-01,1.330000000000000071e+00,2.721999999999999886e+01,2.830000000000000071e+01,1.080000000000000071e+00
2.908056259155273438e+00,0.000000000000000000e+00,4.700000000000000000e+01,3.099999999999999978e-01,4.299999999999999933e-01,6.500000000000000000e+00,2.050000000000000000e+01,1.400000000000000000e+01
3.529577970504760742e+00,0.000000000000000000e+00,5.600000000000000000e+01,3.699999999999999956e-01,5.000000000000000000e-01,9.140000000000000568e+00,2.050000000000000000e+01,1.135999999999999943e+01
3.974575996398925781e+00,0.000000000000000000e+00,6.300000000000000000e+01,4.099999999999999756e-01,5.699999999999999512e-01,1.065000000000000036e+01,2.050000000000000000e+01,9.849999999999999645e+00
4.426021575927734375e+00,0.000000000000000000e+00,7.000000000000000000e+01,4.600000000000000200e-01,6.300000000000000044e-01,1.149000000000000021e+01,2.050000000000000000e+01,9.009999999999999787e+00
4.863839387893676758e+00,0.000000000000000000e+00,7.700000000000000000e+01,5.000000000000000000e-01,6.800000000000000488e-01,1.256000000000000050e+01,2.050000000000000000e+01,7.940000000000000391e+00
5.314233303070068359e+00,0.000000000000000000e+00,8.200000000000000000e+01,5.300000000000000266e-01,7.299999999999999822e-01,1.349000000000000021e+01,2.050000000000000000e+01,7.009999999999999787e+00
5.770581722259521484e+00,0.000000000000000000e+00,8.700000000000000000e+01,5.500000000000000444e-01,7.500000000000000000e-01,1.471000000000000085e+01,2.050000000000000000e+01,5.790000000000000036e+00
6.215625524520874023e+00,0.000000000000000000e+00,9.000000000000000000e+01,5.699999999999999512e-01,7.900000000000000355e-01,1.578999999999999915e+01,2.050000000000000000e+01,4.709999999999999964e+00
6.664186716079711914e+00,0.000000000000000000e+00,9.300000000000000000e+01,5.899999999999999689e-01,8.100000000000000533e-01,1.623000000000000043e+01,2.050000000000000000e+01,4.269999999999999574e+00
7.117690801620483398e+00,0.000000000000000000e+00,9.700000000000000000e+01,6.099999999999999867e-01,8.299999999999999600e-01,1.637000000000000099e+01,2.050000000000000000e+01,4.129999999999999893e+00
7.561214685440063477e+00,0.000000000000000000e+00,1.000000000000000000e+02,6.300000000000000044e-01,8.599999999999999867e-01,1.667000000000000171e+01,2.050000000000000000e+01,3.830000000000000071e+00
8.106405973434448242e+00,0.000000000000000000e+00,1.040000000000000000e+02,6.500000000000000222e-01,8.800000000000000044e-01,1.680999999999999872e+01,2.050000000000000000e+01,3.689999999999999947e+00
8.604656696319580078e+00,0.000000000000000000e+00,1.070000000000000000e+02,6.600000000000000311e-01,9.000000000000000222e-01,1.680999999999999872e+01,2.050000000000000000e+01,3.689999999999999947e+00
9.060868263244628906e+00,0.000000000000000000e+00,1.100000000000000000e+02,6.800000000000000488e-01,9.200000000000000400e-01,1.705999999999999872e+01,2.050000000000000000e+01,3.439999999999999947e+00
9.506426334381103516e+00,0.000000000000000000e+00,1.110000000000000000e+02,6.899999999999999467e-01,9.399999999999999467e-01,1.778999999999999915e+01,2.050000000000000000e+01,2.709999999999999964e+00
9.940464019775390625e+00,0.000000000000000000e+00,1.130000000000000000e+02,6.899999999999999467e-01,9.499999999999999556e-01,1.817999999999999972e+01,2.050000000000000000e+01,2.319999999999999840e+00
1.041599750518798828e+01,0.000000000000000000e+00,1.150000000000000000e+02,6.999999999999999556e-01,9.599999999999999645e-01,1.862000000000000099e+01,2.050000000000000000e+01,1.879999999999999893e+00
1.087938284873962402e+01,0.000000000000000000e+00,1.160000000000000000e+02,7.099999999999999645e-01,9.699999999999999734e-01,1.896000000000000085e+01,2.050000000000000000e+01,1.540000000000000036e+00
1.130766725540161133e+01,0.000000000000000000e+00,1.170000000000000000e+02,7.099999999999999645e-01,9.699999999999999734e-01,1.905999999999999872e+01,2.050000000000000000e+01,1.439999999999999947e+00
1.171860408782958984e+01,0.000000000000000000e+00,1.180000000000000000e+02,7.199999999999999734e-01,9.799999999999999822e-01,1.939999999999999858e+01,2.050000000000000000e+01,1.100000000000000089e+00
1.214357972145080566e+01,0.000000000000000000e+00,1.200000000000000000e+02,7.199999999999999734e-01,9.799999999999999822e-01,1.901000000000000156e+01,2.050000000000000000e+01,1.489999999999999991e+00
1.257336878776550293e+01,0.000000000000000000e+00,1.200000000000000000e+02,7.199999999999999734e-01,9.899999999999999911e-01,1.910999999999999943e+01,2.050000000000000000e+01,1.389999999999999902e+00
1.305289435386657715e+01,0.000000000000000000e+00,1.200000000000000000e+02,7.299999999999999822e-01,1.000000000000000000e+00,1.969999999999999929e+01,2.050000000000000000e+01,8.000000000000000444e-01
1.351563143730163574e+01,0.000000000000000000e+00,1.210000000000000000e+02,7.299999999999999822e-01,1.000000000000000000e+00,1.998999999999999844e+01,2.050000000000000000e+01,5.100000000000000089e-01
1.389566946029663086e+01,0.000000000000000000e+00,1.210000000000000000e+02,7.299999999999999822e-01,1.000000000000000000e+00,1.994000000000000128e+01,2.050000000000000000e+01,5.600000000000000533e-01
1.442159724235534668e+01,0.000000000000000000e+00,1.220000000000000000e+02,7.299999999999999822e-01,1.000000000000000000e+00,1.978999999999999915e+01,2.050000000000000000e+01,7.099999999999999645e-01
1.485305953025817871e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.299999999999999822e-01,1.000000000000000000e+00,1.950000000000000000e+01,2.050000000000000000e+01,1.000000000000000000e+00
1.530812764167785645e+01,0.000000000000000000e+00,1.220000000000000000e+02,7.399999999999999911e-01,1.010000000000000009e+00,2.042999999999999972e+01,2.050000000000000000e+01,7.000000000000000666e-02
1.577731800079345703e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.399999999999999911e-01,1.010000000000000009e+00,1.969999999999999929e+01,2.050000000000000000e+01,8.000000000000000444e-01
1.623792791366577148e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.399999999999999911e-01,1.010000000000000009e+00,1.978999999999999915e+01,2.050000000000000000e+01,7.099999999999999645e-01
1.666593408584594727e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.037999999999999901e+01,2.050000000000000000e+01,1.199999999999999956e-01
